Namespace(device=2, log_steps=50, resolution=256, num_layers=5, hidden_channels=512, norm_type='bn', act_type='relu', affine_condition_on_time=False, batch_size=32, test_batch_size=16, lr=0.001, min_lr=1e-06, weight_decay=0, warmup_steps=1000, num_epochs=10000, accum_iter=1, opt='adam', alpha=1, k=64, momentum=0.99, time_dependent=False)
Epoch: 0, t: 104, LR: 0.0007, Loss: -0.0487, Reg: 33.6974, CLS_Loss: 7.1211, Train acc: 0.00%
Epoch: 0, t: 854, LR: 0.0006, Loss: -0.0484, Reg: 33.8030, CLS_Loss: 7.1211, Train acc: 0.00%
Epoch: 0, t: 841, LR: 0.0006, Loss: -0.0488, Reg: 33.7542, CLS_Loss: 7.1211, Train acc: 0.00%
Epoch: 0, t: 555, LR: 0.0006, Loss: -0.0486, Reg: 33.6003, CLS_Loss: 7.1211, Train acc: 0.00%
Epoch: 0, t: 148, LR: 0.0006, Loss: -0.0476, Reg: 33.5764, CLS_Loss: 7.1211, Train acc: 0.00%
Epoch: 0, t: 14, LR: 0.0006, Loss: -0.0472, Reg: 33.5552, CLS_Loss: 7.1211, Train acc: 0.00%
Epoch: 0, t: 956, LR: 0.0006, Loss: -0.0469, Reg: 33.5995, CLS_Loss: 7.1211, Train acc: 0.00%
Epoch: 0, t: 2, LR: 0.0005, Loss: -0.0461, Reg: 33.4789, CLS_Loss: 7.1211, Train acc: 0.00%
Epoch: 0, t: 2, LR: 0.0005, Loss: -0.0459, Reg: 33.4636, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 42, LR: 0.0005, Loss: -0.0459, Reg: 33.4737, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 65, LR: 0.0005, Loss: -0.0454, Reg: 33.3189, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 500, LR: 0.0005, Loss: -0.0457, Reg: 33.2258, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 135, LR: 0.0004, Loss: -0.0457, Reg: 33.2868, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 728, LR: 0.0004, Loss: -0.0456, Reg: 33.2785, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 357, LR: 0.0004, Loss: -0.0447, Reg: 33.1976, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 341, LR: 0.0004, Loss: -0.0444, Reg: 33.2235, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 547, LR: 0.0004, Loss: -0.0441, Reg: 33.1817, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 799, LR: 0.0004, Loss: -0.0429, Reg: 33.1576, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 569, LR: 0.0003, Loss: -0.0424, Reg: 33.1049, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 673, LR: 0.0003, Loss: -0.0422, Reg: 33.1445, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 557, LR: 0.0003, Loss: -0.0419, Reg: 33.0176, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 301, LR: 0.0003, Loss: -0.0414, Reg: 33.0124, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 905, LR: 0.0003, Loss: -0.0414, Reg: 33.0221, CLS_Loss: 7.1440, Train acc: 0.00%
Epoch: 0, t: 86, LR: 0.0003, Loss: -0.0408, Reg: 33.0385, CLS_Loss: 7.1720, Train acc: 0.00%
Epoch: 0, t: 374, LR: 0.0003, Loss: -0.0409, Reg: 33.0294, CLS_Loss: 7.1720, Train acc: 0.00%
Epoch: 0, t: 549, LR: 0.0002, Loss: -0.0405, Reg: 32.9061, CLS_Loss: 7.1720, Train acc: 0.00%
Epoch: 0, t: 954, LR: 0.0002, Loss: -0.0402, Reg: 32.9497, CLS_Loss: 7.1720, Train acc: 0.00%
Epoch: 0, t: 332, LR: 0.0002, Loss: -0.0401, Reg: 32.9943, CLS_Loss: 7.1703, Train acc: 0.00%
